name,state,stream,fees,student_rating,placement_rate,industry_tieups,location
Delhi Technological University,Uttar Pradesh,Management,186586,3.3,57,Yes,Rural
National Institute of Technology Trichy,Delhi,Engineering,236576,3.4,89,Yes,Semi-Urban
Indian Institute of Science,Gujarat,Management,158403,2.8,87,Yes,Semi-Urban
SRM Institute of Science and Technology,Gujarat,Pharmacy,352997,3.0,49,No,Semi-Urban
Jamia Millia Islamia,Gujarat,Engineering,286048,3.9,81,Yes,Semi-Urban
Delhi Technological University,Delhi,Hotel-management,280308,4.6,66,No,Rural
Amity University,Haryana,Science,267299,5.0,79,Yes,Urban
Anna University,Madhya Pradesh,Medical,50092,4.3,59,Yes,Urban
University of Delhi,Madhya Pradesh,Arts,71796,5.0,86,Yes,Semi-Urban
Jadavpur University,Rajasthan,Pharmacy,176442,4.8,73,No,Semi-Urban
Vellore Institute of Technology,West Bengal,Medical,358634,3.2,76,No,Urban
Manipal Institute of Technology,Haryana,Pharmacy,273096,3.4,75,No,Rural
Delhi Technological University,Madhya Pradesh,Management,322478,4.1,70,Yes,Rural
Shiv Nadar University,Madhya Pradesh,Arts,200812,4.8,49,No,Urban
Amity University,Assam,Pharmacy,292767,4.3,48,Yes,Rural
SRM Institute of Science and Technology,Punjab,Science,211373,3.0,78,Yes,Rural
University of Delhi,Rajasthan,Commerce,256045,4.2,41,No,Semi-Urban
Anna University,Haryana,Commerce,86304,4.7,69,Yes,Urban
Jadavpur University,Andhra Pradesh,Commerce,108087,3.2,47,No,Urban
Birla Institute of Technology and Science,Odisha,Arts,410547,2.7,58,Yes,Semi-Urban
Shiv Nadar University,Karnataka,Management,375699,4.4,58,Yes,Rural
Jadavpur University,Punjab,Engineering,331393,3.1,94,No,Rural
Shiv Nadar University,Karnataka,Engineering,403769,4.8,70,No,Semi-Urban
University of Delhi,Andhra Pradesh,Science,414844,4.1,67,No,Semi-Urban
Vellore Institute of Technology,Delhi,Arts,341964,3.4,87,No,Urban
Symbiosis Institute of Business Management,Madhya Pradesh,Engineering,181503,4.6,71,No,Urban
Vellore Institute of Technology,Uttar Pradesh,Hotel-management,482109,4.2,56,Yes,Urban
Shiv Nadar University,Maharashtra,Engineering,253219,2.8,80,Yes,Urban
Birla Institute of Technology and Science,Gujarat,Science,158857,3.7,68,No,Rural
Jamia Millia Islamia,Bihar,Engineering,407572,4.1,75,Yes,Rural
University of Delhi,West Bengal,Medical,354853,3.0,63,No,Semi-Urban
Anna University,Haryana,Commerce,243194,4.8,93,Yes,Semi-Urban
Anna University,Karnataka,Management,447515,2.7,65,No,Urban
Narsee Monjee Institute of Management Studies,Tamil Nadu,Management,329458,3.2,86,Yes,Semi-Urban
Birla Institute of Technology and Science,Delhi,Hotel-management,52583,4.0,75,Yes,Rural
Manipal Institute of Technology,Maharashtra,Commerce,302227,3.5,95,Yes,Urban
Birla Institute of Technology and Science,Delhi,Commerce,140027,4.4,62,Yes,Semi-Urban
SRM Institute of Science and Technology,Tamil Nadu,Management,354063,4.4,62,No,Rural
Jadavpur University,Gujarat,Engineering,401329,4.1,74,No,Rural
National Institute of Technology Trichy,Haryana,Management,100188,3.9,51,No,Urban
